Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,campus-leaf1a,Ethernet51,l3spine,campus-spine1,Ethernet1,True
leaf,campus-leaf1a,Ethernet53,mlag_peer,campus-leaf1b,Ethernet53,True
leaf,campus-leaf1a,Ethernet54,mlag_peer,campus-leaf1b,Ethernet54,True
leaf,campus-leaf1b,Ethernet51,l3spine,campus-spine2,Ethernet1,True
leaf,campus-leaf1b,Ethernet53,mlag_peer,campus-leaf1a,Ethernet53,True
leaf,campus-leaf1b,Ethernet54,mlag_peer,campus-leaf1a,Ethernet54,True
leaf,campus-leaf2a,Ethernet1/1,l3spine,campus-spine1,Ethernet49/1,True
leaf,campus-leaf2a,Ethernet2/1,l3spine,campus-spine2,Ethernet49/1,True
leaf,campus-leaf3a,Ethernet97/1,l3spine,campus-spine1,Ethernet50/1,True
leaf,campus-leaf3a,Ethernet97/2,l3spine,campus-spine2,Ethernet50/1,True
leaf,campus-leaf3a,Ethernet97/3,leaf,campus-leaf3c,Ethernet97/1,True
leaf,campus-leaf3a,Ethernet97/4,leaf,campus-leaf3d,Ethernet97/1,True
leaf,campus-leaf3a,Ethernet98/1,leaf,campus-leaf3e,Ethernet97/1,True
leaf,campus-leaf3a,Ethernet98/3,mlag_peer,campus-leaf3b,Ethernet98/3,True
leaf,campus-leaf3a,Ethernet98/4,mlag_peer,campus-leaf3b,Ethernet98/4,True
leaf,campus-leaf3b,Ethernet97/1,l3spine,campus-spine1,Ethernet51/1,True
leaf,campus-leaf3b,Ethernet97/2,l3spine,campus-spine2,Ethernet51/1,True
leaf,campus-leaf3b,Ethernet97/3,leaf,campus-leaf3c,Ethernet97/2,True
leaf,campus-leaf3b,Ethernet97/4,leaf,campus-leaf3d,Ethernet97/2,True
leaf,campus-leaf3b,Ethernet98/1,leaf,campus-leaf3e,Ethernet97/2,True
leaf,campus-leaf3b,Ethernet98/3,mlag_peer,campus-leaf3a,Ethernet98/3,True
leaf,campus-leaf3b,Ethernet98/4,mlag_peer,campus-leaf3a,Ethernet98/4,True
leaf,campus-leaf3c,Ethernet97/1,leaf,campus-leaf3a,Ethernet97/3,True
leaf,campus-leaf3c,Ethernet97/2,leaf,campus-leaf3b,Ethernet97/3,True
leaf,campus-leaf3d,Ethernet97/1,leaf,campus-leaf3a,Ethernet97/4,True
leaf,campus-leaf3d,Ethernet97/2,leaf,campus-leaf3b,Ethernet97/4,True
leaf,campus-leaf3e,Ethernet97/1,leaf,campus-leaf3a,Ethernet98/1,True
leaf,campus-leaf3e,Ethernet97/2,leaf,campus-leaf3b,Ethernet98/1,True
l3spine,campus-spine1,Ethernet1,leaf,campus-leaf1a,Ethernet51,True
l3spine,campus-spine1,Ethernet49/1,leaf,campus-leaf2a,Ethernet1/1,True
l3spine,campus-spine1,Ethernet50/1,leaf,campus-leaf3a,Ethernet97/1,True
l3spine,campus-spine1,Ethernet51/1,leaf,campus-leaf3b,Ethernet97/1,True
l3spine,campus-spine1,Ethernet55/1,mlag_peer,campus-spine2,Ethernet55/1,True
l3spine,campus-spine1,Ethernet56/1,mlag_peer,campus-spine2,Ethernet56/1,True
l3spine,campus-spine2,Ethernet1,leaf,campus-leaf1b,Ethernet51,True
l3spine,campus-spine2,Ethernet49/1,leaf,campus-leaf2a,Ethernet2/1,True
l3spine,campus-spine2,Ethernet50/1,leaf,campus-leaf3a,Ethernet97/2,True
l3spine,campus-spine2,Ethernet51/1,leaf,campus-leaf3b,Ethernet97/2,True
l3spine,campus-spine2,Ethernet55/1,mlag_peer,campus-spine1,Ethernet55/1,True
l3spine,campus-spine2,Ethernet56/1,mlag_peer,campus-spine1,Ethernet56/1,True
